scenario,effective_path_m,clear_sky_snr_db,outage_penalty,improved_utility,baseline_utility,baseline,utility_delta
L500_SNR18_A4,500.0,18.0,4.0,1.9920934322333366,1.994525745536778,TCN Policy,-0.0024323133034414024
L500_SNR18_A8,500.0,18.0,8.0,1.7997145370130676,1.7961723164495988,TCN Policy,0.0035422205634687565
L500_SNR18_A12,500.0,18.0,12.0,1.685140260087882,1.684864205474643,TCN Policy,0.00027605461323898517
L500_SNR20_A4,500.0,20.0,4.0,2.4801296975757428,2.479467619943889,TCN Policy,0.0006620776318535526
L500_SNR20_A8,500.0,20.0,8.0,2.3627220409419896,2.3622430692448635,TCN Policy,0.0004789716971260738
L500_SNR20_A12,500.0,20.0,12.0,2.2826757266237423,2.2818409254477605,TCN Policy,0.0008348011759817808
L500_SNR22_A4,500.0,22.0,4.0,3.2099906645538074,3.2089447127287842,TCN Policy,0.0010459518250232058
L500_SNR22_A8,500.0,22.0,8.0,3.0028187441982785,2.9970210217714643,TCN Policy,0.0057977224268142
L500_SNR22_A12,500.0,22.0,12.0,2.869182244402254,2.8623992216930185,TCN Policy,0.0067830227092353645
L800_SNR18_A4,800.0,18.0,4.0,1.3419765452726178,1.3400214039964684,TCN Policy,0.0019551412761493747
L800_SNR18_A8,800.0,18.0,8.0,1.1349355847227207,1.1279248476931725,TCN Policy,0.007010737029548242
L800_SNR18_A12,800.0,18.0,12.0,1.0038335011822153,1.0055480932361693,TCN Policy,-0.0017145920539540782
L800_SNR20_A4,800.0,20.0,4.0,1.8676689969135996,1.8636502191204354,TCN Policy,0.004018777793164174
L800_SNR20_A8,800.0,20.0,8.0,1.6213925148106303,1.6191185821967893,TCN Policy,0.002273932613841012
L800_SNR20_A12,800.0,20.0,12.0,1.4791932035661017,1.4739981913834448,TCN Policy,0.005195012182656944
L800_SNR22_A4,800.0,22.0,4.0,2.377471465125268,2.3765080657701856,TCN Policy,0.0009633993550823838
L800_SNR22_A8,800.0,22.0,8.0,2.1267391599997936,2.117226880170129,TCN Policy,0.009512279829664738
L800_SNR22_A12,800.0,22.0,12.0,1.964751037883919,1.959701048299137,TCN Policy,0.005049989584781978
L300_SNR18_A4,300.0,18.0,4.0,2.4897954401586926,2.489510699173618,TFT Policy,0.00028474098507480505
L300_SNR18_A8,300.0,18.0,8.0,2.3966607036935352,2.3945621774755024,TFT Policy,0.002098526218032859
L300_SNR18_A12,300.0,18.0,12.0,2.334602183719737,2.3281183808851216,TFT Policy,0.006483802834615471
L300_SNR20_A4,300.0,20.0,4.0,2.953978631659362,2.9498911895824067,TFT Policy,0.004087442076955217
L300_SNR20_A8,300.0,20.0,8.0,2.839301303456333,2.8350165894500767,TFT Policy,0.004284714006256074
L300_SNR20_A12,300.0,20.0,12.0,2.7704657566437825,2.765273824689982,TFT Policy,0.0051919319538002995
L300_SNR22_A4,300.0,22.0,4.0,3.767766067746693,3.763396056919269,TFT Policy,0.0043700108274240534
L300_SNR22_A8,300.0,22.0,8.0,3.674393330203714,3.6733974840774555,TFT Policy,0.0009958461262584706
L300_SNR22_A12,300.0,22.0,12.0,3.623093317173238,3.6192424443390077,TFT Policy,0.0038508728342301346
L500_SNR18_A4,500.0,18.0,4.0,1.9920934322333366,1.992805235478661,TFT Policy,-0.0007118032453243828
L500_SNR18_A8,500.0,18.0,8.0,1.7997145370130676,1.7922110990093225,TFT Policy,0.007503438003745089
L500_SNR18_A12,500.0,18.0,12.0,1.685140260087882,1.6836191572931805,TFT Policy,0.0015211027947015232
L500_SNR20_A4,500.0,20.0,4.0,2.4801296975757428,2.477656143211127,TFT Policy,0.0024735543646157154
L500_SNR20_A8,500.0,20.0,8.0,2.3627220409419896,2.35956260772684,TFT Policy,0.003159433215149665
L500_SNR20_A12,500.0,20.0,12.0,2.2826757266237423,2.276537825239229,TFT Policy,0.006137901384513089
L500_SNR22_A4,500.0,22.0,4.0,3.2099906645538074,3.20921532740836,TFT Policy,0.00077533714544753
L500_SNR22_A8,500.0,22.0,8.0,3.0028187441982785,2.9914953205285797,TFT Policy,0.011323423669698851
L500_SNR22_A12,500.0,22.0,12.0,2.869182244402254,2.855913626126746,TFT Policy,0.013268618275507738
L800_SNR18_A4,800.0,18.0,4.0,1.3419765452726178,1.3376787392446003,TFT Policy,0.004297806028017437
